"","method","Nt","p0","p1","miss0","miss1"
"370","TS",162,0.7,0.9,0.1,0.3
"371","TS",162,0.7,0.9,0.1,0.4
"372","TS",162,0.7,0.9,0.1,0.5
"373","TS",162,0.7,0.9,0.2,0
"374","TS",162,0.7,0.9,0.2,0.1
"375","TS",162,0.7,0.9,0.2,0.2
"376","TS",162,0.7,0.9,0.2,0.3
"377","TS",162,0.7,0.9,0.2,0.4
"378","TS",162,0.7,0.9,0.2,0.5
"379","TS",162,0.7,0.9,0.3,0
"380","TS",162,0.7,0.9,0.3,0.1
"381","TS",162,0.7,0.9,0.3,0.2
"382","TS",162,0.7,0.9,0.3,0.3
"383","TS",162,0.7,0.9,0.3,0.4
"384","TS",162,0.7,0.9,0.3,0.5
"385","TS",162,0.7,0.9,0.4,0
"386","TS",162,0.7,0.9,0.4,0.1
"387","TS",162,0.7,0.9,0.4,0.2
"388","TS",162,0.7,0.9,0.4,0.3
"389","TS",162,0.7,0.9,0.4,0.4
"390","TS",162,0.7,0.9,0.4,0.5
"391","TS",162,0.7,0.9,0.5,0
"392","TS",162,0.7,0.9,0.5,0.1
"393","TS",162,0.7,0.9,0.5,0.2
"394","TS",162,0.7,0.9,0.5,0.3
"395","TS",162,0.7,0.9,0.5,0.4
"396","TS",162,0.7,0.9,0.5,0.5
"397","TS",526,0.8,0.9,0,0
"398","TS",526,0.8,0.9,0,0.1
"399","TS",526,0.8,0.9,0,0.2
"400","TS",526,0.8,0.9,0,0.3
"401","TS",526,0.8,0.9,0,0.4
"402","TS",526,0.8,0.9,0,0.5
"403","TS",526,0.8,0.9,0.1,0
"404","TS",526,0.8,0.9,0.1,0.1
"405","TS",526,0.8,0.9,0.1,0.2
"406","TS",526,0.8,0.9,0.1,0.3
"407","TS",526,0.8,0.9,0.1,0.4
"408","TS",526,0.8,0.9,0.1,0.5
"409","TS",526,0.8,0.9,0.2,0
"410","TS",526,0.8,0.9,0.2,0.1
"411","TS",526,0.8,0.9,0.2,0.2
"412","TS",526,0.8,0.9,0.2,0.3
"413","TS",526,0.8,0.9,0.2,0.4
"414","TS",526,0.8,0.9,0.2,0.5
"415","TS",526,0.8,0.9,0.3,0
"416","TS",526,0.8,0.9,0.3,0.1
"417","TS",526,0.8,0.9,0.3,0.2
"418","TS",526,0.8,0.9,0.3,0.3
"419","TS",526,0.8,0.9,0.3,0.4
"420","TS",526,0.8,0.9,0.3,0.5
"421","TS",526,0.8,0.9,0.4,0
"422","TS",526,0.8,0.9,0.4,0.1
"423","TS",526,0.8,0.9,0.4,0.2
"424","TS",526,0.8,0.9,0.4,0.3
"425","TS",526,0.8,0.9,0.4,0.4
"426","TS",526,0.8,0.9,0.4,0.5
"427","TS",526,0.8,0.9,0.5,0
"428","TS",526,0.8,0.9,0.5,0.1
"429","TS",526,0.8,0.9,0.5,0.2
"430","TS",526,0.8,0.9,0.5,0.3
"431","TS",526,0.8,0.9,0.5,0.4
"432","TS",526,0.8,0.9,0.5,0.5
