"","method","Nt","p0","p1","miss0","miss1"
"329","RPW",82,0.6,0.9,0,0.4
"330","RPW",82,0.6,0.9,0,0.5
"331","RPW",82,0.6,0.9,0.1,0
"332","RPW",82,0.6,0.9,0.1,0.1
"333","RPW",82,0.6,0.9,0.1,0.2
"334","RPW",82,0.6,0.9,0.1,0.3
"335","RPW",82,0.6,0.9,0.1,0.4
"336","RPW",82,0.6,0.9,0.1,0.5
"337","RPW",82,0.6,0.9,0.2,0
"338","RPW",82,0.6,0.9,0.2,0.1
"339","RPW",82,0.6,0.9,0.2,0.2
"340","RPW",82,0.6,0.9,0.2,0.3
"341","RPW",82,0.6,0.9,0.2,0.4
"342","RPW",82,0.6,0.9,0.2,0.5
"343","RPW",82,0.6,0.9,0.3,0
"344","RPW",82,0.6,0.9,0.3,0.1
"345","RPW",82,0.6,0.9,0.3,0.2
"346","RPW",82,0.6,0.9,0.3,0.3
"347","RPW",82,0.6,0.9,0.3,0.4
"348","RPW",82,0.6,0.9,0.3,0.5
"349","RPW",82,0.6,0.9,0.4,0
"350","RPW",82,0.6,0.9,0.4,0.1
"351","RPW",82,0.6,0.9,0.4,0.2
"352","RPW",82,0.6,0.9,0.4,0.3
"353","RPW",82,0.6,0.9,0.4,0.4
"354","RPW",82,0.6,0.9,0.4,0.5
"355","RPW",82,0.6,0.9,0.5,0
"356","RPW",82,0.6,0.9,0.5,0.1
"357","RPW",82,0.6,0.9,0.5,0.2
"358","RPW",82,0.6,0.9,0.5,0.3
"359","RPW",82,0.6,0.9,0.5,0.4
"360","RPW",82,0.6,0.9,0.5,0.5
"361","RPW",162,0.7,0.9,0,0
"362","RPW",162,0.7,0.9,0,0.1
"363","RPW",162,0.7,0.9,0,0.2
"364","RPW",162,0.7,0.9,0,0.3
"365","RPW",162,0.7,0.9,0,0.4
"366","RPW",162,0.7,0.9,0,0.5
"367","RPW",162,0.7,0.9,0.1,0
"368","RPW",162,0.7,0.9,0.1,0.1
"369","RPW",162,0.7,0.9,0.1,0.2
"370","RPW",162,0.7,0.9,0.1,0.3
"371","RPW",162,0.7,0.9,0.1,0.4
"372","RPW",162,0.7,0.9,0.1,0.5
"373","RPW",162,0.7,0.9,0.2,0
"374","RPW",162,0.7,0.9,0.2,0.1
"375","RPW",162,0.7,0.9,0.2,0.2
"376","RPW",162,0.7,0.9,0.2,0.3
"377","RPW",162,0.7,0.9,0.2,0.4
"378","RPW",162,0.7,0.9,0.2,0.5
"379","RPW",162,0.7,0.9,0.3,0
"380","RPW",162,0.7,0.9,0.3,0.1
"381","RPW",162,0.7,0.9,0.3,0.2
"382","RPW",162,0.7,0.9,0.3,0.3
"383","RPW",162,0.7,0.9,0.3,0.4
"384","RPW",162,0.7,0.9,0.3,0.5
"385","RPW",162,0.7,0.9,0.4,0
"386","RPW",162,0.7,0.9,0.4,0.1
"387","RPW",162,0.7,0.9,0.4,0.2
"388","RPW",162,0.7,0.9,0.4,0.3
"389","RPW",162,0.7,0.9,0.4,0.4
"390","RPW",162,0.7,0.9,0.4,0.5
"391","RPW",162,0.7,0.9,0.5,0
"392","RPW",162,0.7,0.9,0.5,0.1
"393","RPW",162,0.7,0.9,0.5,0.2
"394","RPW",162,0.7,0.9,0.5,0.3
"395","RPW",162,0.7,0.9,0.5,0.4
"396","RPW",162,0.7,0.9,0.5,0.5
"397","RPW",526,0.8,0.9,0,0
"398","RPW",526,0.8,0.9,0,0.1
"399","RPW",526,0.8,0.9,0,0.2
"400","RPW",526,0.8,0.9,0,0.3
"401","RPW",526,0.8,0.9,0,0.4
"402","RPW",526,0.8,0.9,0,0.5
"403","RPW",526,0.8,0.9,0.1,0
"404","RPW",526,0.8,0.9,0.1,0.1
"405","RPW",526,0.8,0.9,0.1,0.2
"406","RPW",526,0.8,0.9,0.1,0.3
"407","RPW",526,0.8,0.9,0.1,0.4
"408","RPW",526,0.8,0.9,0.1,0.5
"409","RPW",526,0.8,0.9,0.2,0
"410","RPW",526,0.8,0.9,0.2,0.1
"411","RPW",526,0.8,0.9,0.2,0.2
"412","RPW",526,0.8,0.9,0.2,0.3
"413","RPW",526,0.8,0.9,0.2,0.4
"414","RPW",526,0.8,0.9,0.2,0.5
"415","RPW",526,0.8,0.9,0.3,0
"416","RPW",526,0.8,0.9,0.3,0.1
"417","RPW",526,0.8,0.9,0.3,0.2
"418","RPW",526,0.8,0.9,0.3,0.3
"419","RPW",526,0.8,0.9,0.3,0.4
"420","RPW",526,0.8,0.9,0.3,0.5
"421","RPW",526,0.8,0.9,0.4,0
"422","RPW",526,0.8,0.9,0.4,0.1
"423","RPW",526,0.8,0.9,0.4,0.2
"424","RPW",526,0.8,0.9,0.4,0.3
"425","RPW",526,0.8,0.9,0.4,0.4
"426","RPW",526,0.8,0.9,0.4,0.5
"427","RPW",526,0.8,0.9,0.5,0
"428","RPW",526,0.8,0.9,0.5,0.1
"429","RPW",526,0.8,0.9,0.5,0.2
"430","RPW",526,0.8,0.9,0.5,0.3
"431","RPW",526,0.8,0.9,0.5,0.4
"432","RPW",526,0.8,0.9,0.5,0.5
