"","method","Nt","p0","p1","miss0","miss1","POS","POS_se","scenario"
"233","RandUCB",162,0.1,0.3,0.2,0.4,0.865368657905066,0.0497738959034686,7
"234","RandUCB",162,0.1,0.3,0.2,0.5,0.865368657905066,0.0497738959034686,7
"235","RandUCB",162,0.1,0.3,0.3,0,0.865368657905066,0.0497738959034686,7
"236","RandUCB",162,0.1,0.3,0.3,0.1,0.865368657905066,0.0497738959034686,7
"237","RandUCB",162,0.1,0.3,0.3,0.2,0.865368657905066,0.0497738959034686,7
"238","RandUCB",162,0.1,0.3,0.3,0.3,0.865368657905066,0.0497738959034686,7
"239","RandUCB",162,0.1,0.3,0.3,0.4,0.865368657905066,0.0497738959034686,7
"240","RandUCB",162,0.1,0.3,0.3,0.5,0.865368657905066,0.0497738959034686,7
"241","RandUCB",162,0.1,0.3,0.4,0,0.865368657905066,0.0497738959034686,7
"242","RandUCB",162,0.1,0.3,0.4,0.1,0.865368657905066,0.0497738959034686,7
"243","RandUCB",162,0.1,0.3,0.4,0.2,0.865368657905066,0.0497738959034686,7
"244","RandUCB",162,0.1,0.3,0.4,0.3,0.865368657905066,0.0497738959034686,7
"245","RandUCB",162,0.1,0.3,0.4,0.4,0.865368657905066,0.0497738959034686,7
"246","RandUCB",162,0.1,0.3,0.4,0.5,0.865368657905066,0.0497738959034686,7
"247","RandUCB",162,0.1,0.3,0.5,0,0.865368657905066,0.0497738959034686,7
"248","RandUCB",162,0.1,0.3,0.5,0.1,0.865368657905066,0.0497738959034686,7
"249","RandUCB",162,0.1,0.3,0.5,0.2,0.865368657905066,0.0497738959034686,7
"250","RandUCB",162,0.1,0.3,0.5,0.3,0.865368657905066,0.0497738959034686,7
"251","RandUCB",162,0.1,0.3,0.5,0.4,0.865368657905066,0.0497738959034686,7
"252","RandUCB",162,0.1,0.3,0.5,0.5,0.865368657905066,0.0497738959034686,7
"253","RandUCB",82,0.1,0.4,0,0,0.865368657905066,0.0497738959034686,8
"254","RandUCB",82,0.1,0.4,0,0.1,0.865368657905066,0.0497738959034686,8
"255","RandUCB",82,0.1,0.4,0,0.2,0.865368657905066,0.0497738959034686,8
"256","RandUCB",82,0.1,0.4,0,0.3,0.865368657905066,0.0497738959034686,8
"257","RandUCB",82,0.1,0.4,0,0.4,0.865368657905066,0.0497738959034686,8
"258","RandUCB",82,0.1,0.4,0,0.5,0.865368657905066,0.0497738959034686,8
"259","RandUCB",82,0.1,0.4,0.1,0,0.865368657905066,0.0497738959034686,8
"260","RandUCB",82,0.1,0.4,0.1,0.1,0.865368657905066,0.0497738959034686,8
"261","RandUCB",82,0.1,0.4,0.1,0.2,0.865368657905066,0.0497738959034686,8
"262","RandUCB",82,0.1,0.4,0.1,0.3,0.865368657905066,0.0497738959034686,8
"263","RandUCB",82,0.1,0.4,0.1,0.4,0.865368657905066,0.0497738959034686,8
"264","RandUCB",82,0.1,0.4,0.1,0.5,0.865368657905066,0.0497738959034686,8
"265","RandUCB",82,0.1,0.4,0.2,0,0.865368657905066,0.0497738959034686,8
"266","RandUCB",82,0.1,0.4,0.2,0.1,0.865368657905066,0.0497738959034686,8
"267","RandUCB",82,0.1,0.4,0.2,0.2,0.865368657905066,0.0497738959034686,8
"268","RandUCB",82,0.1,0.4,0.2,0.3,0.865368657905066,0.0497738959034686,8
"269","RandUCB",82,0.1,0.4,0.2,0.4,0.865368657905066,0.0497738959034686,8
"270","RandUCB",82,0.1,0.4,0.2,0.5,0.865368657905066,0.0497738959034686,8
"271","RandUCB",82,0.1,0.4,0.3,0,0.865368657905066,0.0497738959034686,8
"272","RandUCB",82,0.1,0.4,0.3,0.1,0.865368657905066,0.0497738959034686,8
"273","RandUCB",82,0.1,0.4,0.3,0.2,0.865368657905066,0.0497738959034686,8
"274","RandUCB",82,0.1,0.4,0.3,0.3,0.865368657905066,0.0497738959034686,8
"275","RandUCB",82,0.1,0.4,0.3,0.4,0.865368657905066,0.0497738959034686,8
"276","RandUCB",82,0.1,0.4,0.3,0.5,0.865368657905066,0.0497738959034686,8
"277","RandUCB",82,0.1,0.4,0.4,0,0.865368657905066,0.0497738959034686,8
"278","RandUCB",82,0.1,0.4,0.4,0.1,0.865368657905066,0.0497738959034686,8
"279","RandUCB",82,0.1,0.4,0.4,0.2,0.865368657905066,0.0497738959034686,8
"280","RandUCB",82,0.1,0.4,0.4,0.3,0.865368657905066,0.0497738959034686,8
"281","RandUCB",82,0.1,0.4,0.4,0.4,0.865368657905066,0.0497738959034686,8
"282","RandUCB",82,0.1,0.4,0.4,0.5,0.865368657905066,0.0497738959034686,8
"283","RandUCB",82,0.1,0.4,0.5,0,0.865368657905066,0.0497738959034686,8
"284","RandUCB",82,0.1,0.4,0.5,0.1,0.865368657905066,0.0497738959034686,8
"285","RandUCB",82,0.1,0.4,0.5,0.2,0.865368657905066,0.0497738959034686,8
"286","RandUCB",82,0.1,0.4,0.5,0.3,0.865368657905066,0.0497738959034686,8
"287","RandUCB",82,0.1,0.4,0.5,0.4,0.865368657905066,0.0497738959034686,8
"288","RandUCB",82,0.1,0.4,0.5,0.5,0.865368657905066,0.0497738959034686,8
"289","RandUCB",254,0.4,0.6,0,0,0.865368657905066,0.0497738959034686,12
