"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"198","CB",526,0.1,0.2,0.2,0.5,-0.0516185060747058,-0.016339021160916,6
"199","CB",526,0.1,0.2,0.3,0,-0.0511658596707807,-0.0182137017707995,6
"200","CB",526,0.1,0.2,0.3,0.1,-0.0504510268994484,-0.0170861726303354,6
"201","CB",526,0.1,0.2,0.3,0.2,-0.05265552623212,-0.0168734396327509,6
"202","CB",526,0.1,0.2,0.3,0.3,-0.0513633288497834,-0.0168510397698181,6
"203","CB",526,0.1,0.2,0.3,0.4,-0.0515755713856148,-0.0174219799386012,6
"204","CB",526,0.1,0.2,0.3,0.5,-0.0505022499393671,-0.0170917138222607,6
"205","CB",526,0.1,0.2,0.4,0,-0.0514835823457623,-0.0178662639751914,6
"206","CB",526,0.1,0.2,0.4,0.1,-0.0511738528432959,-0.017842102946487,6
"207","CB",526,0.1,0.2,0.4,0.2,-0.0510552132931739,-0.0177334594546707,6
"208","CB",526,0.1,0.2,0.4,0.3,-0.051614024879259,-0.0176118834084683,6
"209","CB",526,0.1,0.2,0.4,0.4,-0.0504044996325756,-0.0175587133640984,6
"210","CB",526,0.1,0.2,0.4,0.5,-0.0509838570740284,-0.018592753149048,6
"211","CB",526,0.1,0.2,0.5,0,-0.0511866979251854,-0.018741600638419,6
"212","CB",526,0.1,0.2,0.5,0.1,-0.0509581317210565,-0.017735887236378,6
"213","CB",526,0.1,0.2,0.5,0.2,-0.0509386802027253,-0.0182264310053527,6
"214","CB",526,0.1,0.2,0.5,0.3,-0.0504892691220962,-0.0181756151455962,6
"215","CB",526,0.1,0.2,0.5,0.4,-0.0506710815677265,-0.0183337828676943,6
"216","CB",526,0.1,0.2,0.5,0.5,-0.0507853523079404,-0.0186183742364342,6
"217","CB",162,0.1,0.3,0,0,-0.0566617450354102,-0.00837064589884673,7
"218","CB",162,0.1,0.3,0,0.1,-0.0585191440977867,-0.00825981715095797,7
"219","CB",162,0.1,0.3,0,0.2,-0.0569653723958953,-0.00793091553900233,7
"220","CB",162,0.1,0.3,0,0.3,-0.0563107886051036,-0.00956741661693039,7
"221","CB",162,0.1,0.3,0,0.4,-0.0560154928842624,-0.00768582557229536,7
"222","CB",162,0.1,0.3,0,0.5,-0.0558643981822313,-0.0085480154099225,7
"223","CB",162,0.1,0.3,0.1,0,-0.0571635398378335,-0.00775719776524886,7
"224","CB",162,0.1,0.3,0.1,0.1,-0.0567760680819562,-0.0101142646232325,7
"225","CB",162,0.1,0.3,0.1,0.2,-0.0571974135662459,-0.00954832969961689,7
"226","CB",162,0.1,0.3,0.1,0.3,-0.0568172171920296,-0.0082746150500056,7
"227","CB",162,0.1,0.3,0.1,0.4,-0.0566422176810252,-0.00980679778784033,7
"228","CB",162,0.1,0.3,0.1,0.5,-0.05587570697717,-0.00971362565870043,7
"229","CB",162,0.1,0.3,0.2,0,-0.0579703369630138,-0.00911317468402761,7
"230","CB",162,0.1,0.3,0.2,0.1,-0.0565275910531765,-0.00985032910034761,7
"231","CB",162,0.1,0.3,0.2,0.2,-0.0563346991223308,-0.00887640655174038,7
"232","CB",162,0.1,0.3,0.2,0.3,-0.0563469431081373,-0.00929593896063474,7
"233","CB",162,0.1,0.3,0.2,0.4,-0.0563859619335648,-0.0101156501602825,7
"234","CB",162,0.1,0.3,0.2,0.5,-0.0549838500140077,-0.00910985581827461,7
"235","CB",162,0.1,0.3,0.3,0,-0.0565043897893423,-0.0103722406364498,7
"236","CB",162,0.1,0.3,0.3,0.1,-0.0574636136172977,-0.00980535712235553,7
"237","CB",162,0.1,0.3,0.3,0.2,-0.0557943480224402,-0.0103818872941408,7
"238","CB",162,0.1,0.3,0.3,0.3,-0.0543962217160385,-0.0113895648080956,7
"239","CB",162,0.1,0.3,0.3,0.4,-0.0567557155093804,-0.00991362960191144,7
"240","CB",162,0.1,0.3,0.3,0.5,-0.0563203127364709,-0.0102378567429687,7
"241","CB",162,0.1,0.3,0.4,0,-0.0565660215309114,-0.00926047669674163,7
"242","CB",162,0.1,0.3,0.4,0.1,-0.0562035345389017,-0.010599977816104,7
"243","CB",162,0.1,0.3,0.4,0.2,-0.0560869868458591,-0.0098500358846445,7
"244","CB",162,0.1,0.3,0.4,0.3,-0.0578585814203119,-0.0109630892337337,7
"245","CB",162,0.1,0.3,0.4,0.4,-0.0559279940381553,-0.0119908667672783,7
"246","CB",162,0.1,0.3,0.4,0.5,-0.0547659396983553,-0.0128711136026672,7
"247","CB",162,0.1,0.3,0.5,0,-0.0565076225275619,-0.0123136561148421,7
"248","CB",162,0.1,0.3,0.5,0.1,-0.0558765806710238,-0.0115543024910295,7
"249","CB",162,0.1,0.3,0.5,0.2,-0.0570517419076087,-0.0108116284545615,7
"250","CB",162,0.1,0.3,0.5,0.3,-0.0555116009589869,-0.0129516540899105,7
"251","CB",162,0.1,0.3,0.5,0.4,-0.0553684988587031,-0.01380493074335,7
"252","CB",162,0.1,0.3,0.5,0.5,-0.0553347502658654,-0.0154382564654031,7
"253","CB",82,0.1,0.4,0,0,-0.0619128155938363,-0.00644865043509008,8
"254","CB",82,0.1,0.4,0,0.1,-0.0606989983686486,-0.00744092870955843,8
"255","CB",82,0.1,0.4,0,0.2,-0.0595269590143093,-0.00671270338577667,8
"256","CB",82,0.1,0.4,0,0.3,-0.0609107767855274,-0.00752246351214503,8
"257","CB",82,0.1,0.4,0,0.4,-0.0603225885317228,-0.00794717929462074,8
"258","CB",82,0.1,0.4,0,0.5,-0.0597634231947426,-0.00770396193281381,8
"259","CB",82,0.1,0.4,0.1,0,-0.0608364627906969,-0.00691508534032187,8
"260","CB",82,0.1,0.4,0.1,0.1,-0.0612775140572777,-0.00805060817222286,8
"261","CB",82,0.1,0.4,0.1,0.2,-0.0604222258021869,-0.0071030411128678,8
"262","CB",82,0.1,0.4,0.1,0.3,-0.0604064312660898,-0.00821677118191405,8
"263","CB",82,0.1,0.4,0.1,0.4,-0.061082440225506,-0.00783407821353505,8
"264","CB",82,0.1,0.4,0.1,0.5,-0.0600399853492916,-0.0098879343387801,8
"265","CB",82,0.1,0.4,0.2,0,-0.0605270797886459,-0.00802571243189215,8
"266","CB",82,0.1,0.4,0.2,0.1,-0.0602772755346093,-0.00799261269992524,8
"267","CB",82,0.1,0.4,0.2,0.2,-0.05965228955854,-0.00860283315793037,8
"268","CB",82,0.1,0.4,0.2,0.3,-0.0598063391760505,-0.00904997067625551,8
"269","CB",82,0.1,0.4,0.2,0.4,-0.0607205635671604,-0.00840728187243756,8
"270","CB",82,0.1,0.4,0.2,0.5,-0.0596154218878917,-0.00827940211093808,8
"271","CB",82,0.1,0.4,0.3,0,-0.0611629617711201,-0.0077609959658454,8
"272","CB",82,0.1,0.4,0.3,0.1,-0.060150012547705,-0.00833341181668951,8
"273","CB",82,0.1,0.4,0.3,0.2,-0.0609247670096356,-0.00751236793509819,8
"274","CB",82,0.1,0.4,0.3,0.3,-0.0601250498732002,-0.00916277682342381,8
"275","CB",82,0.1,0.4,0.3,0.4,-0.059517225940949,-0.00930083584543467,8
"276","CB",82,0.1,0.4,0.3,0.5,-0.0604355771664141,-0.00975415480817537,8
"277","CB",82,0.1,0.4,0.4,0,-0.0601723959086256,-0.00855079929185987,8
"278","CB",82,0.1,0.4,0.4,0.1,-0.0618023208487499,-0.00961811683344965,8
"279","CB",82,0.1,0.4,0.4,0.2,-0.0604705992745929,-0.0108182212105926,8
"280","CB",82,0.1,0.4,0.4,0.3,-0.0594377190770361,-0.0105028996448498,8
"281","CB",82,0.1,0.4,0.4,0.4,-0.0591318234649476,-0.0111395946247911,8
"282","CB",82,0.1,0.4,0.4,0.5,-0.0614298372454118,-0.011090970538979,8
"283","CB",82,0.1,0.4,0.5,0,-0.0606720612685833,-0.0126206673058047,8
"284","CB",82,0.1,0.4,0.5,0.1,-0.060547026533039,-0.0115796081008197,8
"285","CB",82,0.1,0.4,0.5,0.2,-0.0592509336637083,-0.0123909209843454,8
"286","CB",82,0.1,0.4,0.5,0.3,-0.0597019960369284,-0.0132276950159927,8
"287","CB",82,0.1,0.4,0.5,0.4,-0.0610911600033901,-0.0119566580397408,8
"288","CB",82,0.1,0.4,0.5,0.5,-0.0583415213617856,-0.0126790439566016,8
"289","CB",254,0.4,0.6,0,0,-0.206621039636115,-0.111330784903856,12
"290","CB",254,0.4,0.6,0,0.1,-0.205086011917237,-0.108359805258188,12
"291","CB",254,0.4,0.6,0,0.2,-0.200219283388032,-0.114790794938728,12
"292","CB",254,0.4,0.6,0,0.3,-0.202564127331983,-0.109427172730551,12
"293","CB",254,0.4,0.6,0,0.4,-0.204336695367421,-0.111231912660367,12
"294","CB",254,0.4,0.6,0,0.5,-0.200748198269868,-0.117030983465556,12
"295","CB",254,0.4,0.6,0.1,0,-0.208376517561121,-0.106184774360167,12
"296","CB",254,0.4,0.6,0.1,0.1,-0.202571129890736,-0.114363931221585,12
"297","CB",254,0.4,0.6,0.1,0.2,-0.203417534485293,-0.108667764497177,12
"298","CB",254,0.4,0.6,0.1,0.3,-0.200023457844625,-0.118224357581276,12
"299","CB",254,0.4,0.6,0.1,0.4,-0.199794822502293,-0.115009866102365,12
"300","CB",254,0.4,0.6,0.1,0.5,-0.204869404851592,-0.110178079769826,12
"301","CB",254,0.4,0.6,0.2,0,-0.20503181571627,-0.110013504131043,12
"302","CB",254,0.4,0.6,0.2,0.1,-0.208521761465632,-0.108784483416447,12
"303","CB",254,0.4,0.6,0.2,0.2,-0.199838426546396,-0.116823155895586,12
"304","CB",254,0.4,0.6,0.2,0.3,-0.207468466831265,-0.109291193078555,12
"305","CB",254,0.4,0.6,0.2,0.4,-0.20407452982329,-0.114039915354148,12
"306","CB",254,0.4,0.6,0.2,0.5,-0.199117682034002,-0.115150861161428,12
"307","CB",254,0.4,0.6,0.3,0,-0.205138328014164,-0.107334238852592,12
"308","CB",254,0.4,0.6,0.3,0.1,-0.206020600830626,-0.10682520956296,12
"309","CB",254,0.4,0.6,0.3,0.2,-0.206018601924661,-0.10891002972646,12
"310","CB",254,0.4,0.6,0.3,0.3,-0.206680752977741,-0.108866428040294,12
"311","CB",254,0.4,0.6,0.3,0.4,-0.200991026717487,-0.116104246040247,12
"312","CB",254,0.4,0.6,0.3,0.5,-0.200692408033625,-0.112836817689803,12
