"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"139","RPW",200,0.7,0.7,0.5,0,-0.00457868044431842,-0.00395216497087558,4
"140","RPW",200,0.7,0.7,0.5,0.1,-0.00488524247251043,-0.00448292492777325,4
"141","RPW",200,0.7,0.7,0.5,0.2,-0.00584315300993021,-0.00351581116702293,4
"142","RPW",200,0.7,0.7,0.5,0.3,-0.00555084744799206,-0.00472840742197811,4
"143","RPW",200,0.7,0.7,0.5,0.4,-0.0071280170569421,-0.00596131673224121,4
"144","RPW",200,0.7,0.7,0.5,0.5,-0.00661682375408368,-0.00639675067781142,4
"145","RPW",200,0.9,0.9,0,0,-0.00289134933366519,-0.00291866160987408,5
"146","RPW",200,0.9,0.9,0,0.1,-0.00236393124048961,-0.00373827234493729,5
"147","RPW",200,0.9,0.9,0,0.2,-0.00261452376250049,-0.00368135157963667,5
"148","RPW",200,0.9,0.9,0,0.3,-0.00229372249543092,-0.00418470674364346,5
"149","RPW",200,0.9,0.9,0,0.4,-0.00164469497314312,-0.00505059775632544,5
"150","RPW",200,0.9,0.9,0,0.5,-0.00174889247195231,-0.00597268924979322,5
"151","RPW",200,0.9,0.9,0.1,0,-0.00249380027410739,-0.0030705057866941,5
"152","RPW",200,0.9,0.9,0.1,0.1,-0.00270158914638063,-0.00287204168575961,5
"153","RPW",200,0.9,0.9,0.1,0.2,-0.00304049701300657,-0.00300361204452482,5
"154","RPW",200,0.9,0.9,0.1,0.3,-0.00322377829685505,-0.00421640627318776,5
"155","RPW",200,0.9,0.9,0.1,0.4,-0.00209333846119053,-0.0048094261059447,5
"156","RPW",200,0.9,0.9,0.1,0.5,-0.0019253348128534,-0.00502274163498218,5
"157","RPW",200,0.9,0.9,0.2,0,-0.00392501892557118,-0.002444485406083,5
"158","RPW",200,0.9,0.9,0.2,0.1,-0.00365543820035741,-0.0026995890437862,5
"159","RPW",200,0.9,0.9,0.2,0.2,-0.00354359031592699,-0.00276622848467767,5
"160","RPW",200,0.9,0.9,0.2,0.3,-0.00354313685058683,-0.00379331023223739,5
"161","RPW",200,0.9,0.9,0.2,0.4,-0.00262112189494867,-0.0043354726339081,5
"162","RPW",200,0.9,0.9,0.2,0.5,-0.00250935861198986,-0.00556418243074985,5
"163","RPW",200,0.9,0.9,0.3,0,-0.00481960236259227,-0.00175039493796569,5
"164","RPW",200,0.9,0.9,0.3,0.1,-0.00378190018801527,-0.00246391286396375,5
"165","RPW",200,0.9,0.9,0.3,0.2,-0.00404568035330755,-0.0037016982438175,5
"166","RPW",200,0.9,0.9,0.3,0.3,-0.00445168655364492,-0.00425671862630028,5
"167","RPW",200,0.9,0.9,0.3,0.4,-0.00310321659811086,-0.00471160826465589,5
"168","RPW",200,0.9,0.9,0.3,0.5,-0.00391097282110586,-0.00629058871797061,5
"169","RPW",200,0.9,0.9,0.4,0,-0.0042903975483416,-0.0018454696979634,5
"170","RPW",200,0.9,0.9,0.4,0.1,-0.00601023477674112,-0.00214324854812176,5
"171","RPW",200,0.9,0.9,0.4,0.2,-0.00440094262982449,-0.00172509182639358,5
"172","RPW",200,0.9,0.9,0.4,0.3,-0.00448285981636942,-0.00333745884734349,5
"173","RPW",200,0.9,0.9,0.4,0.4,-0.00474462224105909,-0.0045519662043586,5
"174","RPW",200,0.9,0.9,0.4,0.5,-0.00391242658396274,-0.0061744563723658,5
"175","RPW",200,0.9,0.9,0.5,0,-0.00437353922141215,-0.00173126864126405,5
"176","RPW",200,0.9,0.9,0.5,0.1,-0.00534741711956943,-0.00181527546401106,5
"177","RPW",200,0.9,0.9,0.5,0.2,-0.00580040615843169,-0.00230670646782904,5
"178","RPW",200,0.9,0.9,0.5,0.3,-0.00711409210819125,-0.00320222619505273,5
"179","RPW",200,0.9,0.9,0.5,0.4,-0.00523454449378769,-0.00433770133270384,5
"180","RPW",200,0.9,0.9,0.5,0.5,-0.00513325707644874,-0.00557187462937159,5
"181","RPW",526,0.1,0.2,0,0,-0.000286534952907758,-4.75937888078093e-05,6
"182","RPW",526,0.1,0.2,0,0.1,-0.000271926553579771,-0.000826298452099056,6
"183","RPW",526,0.1,0.2,0,0.2,-0.000213759006656267,-0.00061709142751068,6
"184","RPW",526,0.1,0.2,0,0.3,-0.000499641801683881,-0.000550379981344107,6
"185","RPW",526,0.1,0.2,0,0.4,-5.00416983730129e-05,-0.000141219262100062,6
"186","RPW",526,0.1,0.2,0,0.5,-0.000326517126466169,-0.000466745274205371,6
"187","RPW",526,0.1,0.2,0.1,0,-0.000223877564411001,-0.000448683650305759,6
"188","RPW",526,0.1,0.2,0.1,0.1,-0.000262798817313253,-0.000266892630710502,6
"189","RPW",526,0.1,0.2,0.1,0.2,-0.0001429216683171,-0.00116697850500289,6
"190","RPW",526,0.1,0.2,0.1,0.3,-0.000138543678373487,-0.000615030666282379,6
"191","RPW",526,0.1,0.2,0.1,0.4,-0.000484765140616711,-0.000582167535363665,6
"192","RPW",526,0.1,0.2,0.1,0.5,-0.000598480849957034,-0.000812842964195426,6
"193","RPW",526,0.1,0.2,0.2,0,-0.000791009758167469,-0.000270803120142521,6
"194","RPW",526,0.1,0.2,0.2,0.1,-0.000281068799065087,-0.000274022168176291,6
"195","RPW",526,0.1,0.2,0.2,0.2,-0.000322699295665974,-8.42779357494161e-05,6
"196","RPW",526,0.1,0.2,0.2,0.3,-0.000430798426285767,0.000213626269068151,6
"197","RPW",526,0.1,0.2,0.2,0.4,-0.000430020937948639,-0.000183937476203738,6
"198","RPW",526,0.1,0.2,0.2,0.5,-0.00018329133498908,-0.000754036862316898,6
"199","RPW",526,0.1,0.2,0.3,0,-0.0002099841240812,-0.000456709202059508,6
