"","method","Nt","p0","p1","miss0","miss1","PES","PES_se","scenario"
"212","CB",526,0.1,0.2,0.5,0.1,0.436405703422053,0.0217558000177206,6
"213","CB",526,0.1,0.2,0.5,0.2,0.436405703422053,0.0217558000177206,6
"214","CB",526,0.1,0.2,0.5,0.3,0.436405703422053,0.0217558000177206,6
"215","CB",526,0.1,0.2,0.5,0.4,0.436405703422053,0.0217558000177206,6
"216","CB",526,0.1,0.2,0.5,0.5,0.436405703422053,0.0217558000177206,6
"217","CB",162,0.1,0.3,0,0,0.436405703422053,0.0217558000177206,7
"218","CB",162,0.1,0.3,0,0.1,0.436405703422053,0.0217558000177206,7
"219","CB",162,0.1,0.3,0,0.2,0.436405703422053,0.0217558000177206,7
"220","CB",162,0.1,0.3,0,0.3,0.436405703422053,0.0217558000177206,7
"221","CB",162,0.1,0.3,0,0.4,0.436405703422053,0.0217558000177206,7
"222","CB",162,0.1,0.3,0,0.5,0.436405703422053,0.0217558000177206,7
"223","CB",162,0.1,0.3,0.1,0,0.436405703422053,0.0217558000177206,7
"224","CB",162,0.1,0.3,0.1,0.1,0.436405703422053,0.0217558000177206,7
"225","CB",162,0.1,0.3,0.1,0.2,0.436405703422053,0.0217558000177206,7
"226","CB",162,0.1,0.3,0.1,0.3,0.436405703422053,0.0217558000177206,7
"227","CB",162,0.1,0.3,0.1,0.4,0.436405703422053,0.0217558000177206,7
"228","CB",162,0.1,0.3,0.1,0.5,0.436405703422053,0.0217558000177206,7
"229","CB",162,0.1,0.3,0.2,0,0.436405703422053,0.0217558000177206,7
"230","CB",162,0.1,0.3,0.2,0.1,0.436405703422053,0.0217558000177206,7
"231","CB",162,0.1,0.3,0.2,0.2,0.436405703422053,0.0217558000177206,7
"232","CB",162,0.1,0.3,0.2,0.3,0.436405703422053,0.0217558000177206,7
"233","CB",162,0.1,0.3,0.2,0.4,0.436405703422053,0.0217558000177206,7
"234","CB",162,0.1,0.3,0.2,0.5,0.436405703422053,0.0217558000177206,7
"235","CB",162,0.1,0.3,0.3,0,0.436405703422053,0.0217558000177206,7
"236","CB",162,0.1,0.3,0.3,0.1,0.436405703422053,0.0217558000177206,7
"237","CB",162,0.1,0.3,0.3,0.2,0.436405703422053,0.0217558000177206,7
"238","CB",162,0.1,0.3,0.3,0.3,0.436405703422053,0.0217558000177206,7
"239","CB",162,0.1,0.3,0.3,0.4,0.436405703422053,0.0217558000177206,7
"240","CB",162,0.1,0.3,0.3,0.5,0.436405703422053,0.0217558000177206,7
"241","CB",162,0.1,0.3,0.4,0,0.436405703422053,0.0217558000177206,7
"242","CB",162,0.1,0.3,0.4,0.1,0.436405703422053,0.0217558000177206,7
"243","CB",162,0.1,0.3,0.4,0.2,0.436405703422053,0.0217558000177206,7
"244","CB",162,0.1,0.3,0.4,0.3,0.436405703422053,0.0217558000177206,7
"245","CB",162,0.1,0.3,0.4,0.4,0.436405703422053,0.0217558000177206,7
"246","CB",162,0.1,0.3,0.4,0.5,0.436405703422053,0.0217558000177206,7
"247","CB",162,0.1,0.3,0.5,0,0.436405703422053,0.0217558000177206,7
"248","CB",162,0.1,0.3,0.5,0.1,0.436405703422053,0.0217558000177206,7
"249","CB",162,0.1,0.3,0.5,0.2,0.436405703422053,0.0217558000177206,7
"250","CB",162,0.1,0.3,0.5,0.3,0.436405703422053,0.0217558000177206,7
"251","CB",162,0.1,0.3,0.5,0.4,0.436405703422053,0.0217558000177206,7
"252","CB",162,0.1,0.3,0.5,0.5,0.436405703422053,0.0217558000177206,7
"253","CB",82,0.1,0.4,0,0,0.436405703422053,0.0217558000177206,8
"254","CB",82,0.1,0.4,0,0.1,0.436405703422053,0.0217558000177206,8
"255","CB",82,0.1,0.4,0,0.2,0.436405703422053,0.0217558000177206,8
"256","CB",82,0.1,0.4,0,0.3,0.436405703422053,0.0217558000177206,8
"257","CB",82,0.1,0.4,0,0.4,0.436405703422053,0.0217558000177206,8
"258","CB",82,0.1,0.4,0,0.5,0.436405703422053,0.0217558000177206,8
"259","CB",82,0.1,0.4,0.1,0,0.436405703422053,0.0217558000177206,8
"260","CB",82,0.1,0.4,0.1,0.1,0.436405703422053,0.0217558000177206,8
"261","CB",82,0.1,0.4,0.1,0.2,0.436405703422053,0.0217558000177206,8
"262","CB",82,0.1,0.4,0.1,0.3,0.436405703422053,0.0217558000177206,8
"263","CB",82,0.1,0.4,0.1,0.4,0.436405703422053,0.0217558000177206,8
"264","CB",82,0.1,0.4,0.1,0.5,0.436405703422053,0.0217558000177206,8
